Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Latin America & Caribbean (excluding high income),LAC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,88.6293029785156,91.9613876342773,91.9613876342773,
Latin America & Caribbean (excluding high income),LAC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,90.3425827026367,92.9717330932617,92.9717330932617,
Least developed countries: UN classification,LDC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,60.22412109375,73.4141082763672,79.0647811889648,
Least developed countries: UN classification,LDC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,53.4133987426758,60.5682334899902,60.5682334899902,
Least developed countries: UN classification,LDC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,44.1201858520508,53.1079559326172,53.1079559326172,
Least developed countries: UN classification,LDC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,63.2664070129395,68.3307113647461,68.3307113647461,
Low & middle income,LMY,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,83.3934326171875,87.7802429199219,89.7946701049805,
Low & middle income,LMY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,77.7821350097656,82.3050842285156,82.3050842285156,
Low & middle income,LMY,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,71.5398864746094,77.5996475219727,77.5996475219727,
Low & middle income,LMY,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,84.0606231689453,87.0526885986328,87.0526885986328,
Low income,LIC,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,54.3902816772461,69.3465576171875,77.5309982299805,80.9454727172852
Low income,LIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,52.6949691772461,56.5740547180176,56.5740585327148,
Low income,LIC,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,42.9169807434082,48.0405426025391,48.0405387878417,
Low income,LIC,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,63.1827812194824,65.6107711791992,65.6107711791992,
